"","participant","phase","day","group","N","slope","sd","first_result","second_result","Fgroup"
"261","12","1",4,"15",50,-0.0890961316640818,0.465310500142494,"T","F<0","success"
"262","12","1",5,"15",50,0.296728,0.299429746480791,"T","F<0","success"
"263","12","1",6,"15",50,1.159902,0.681184899975845,"T","F<0","success"
"264","12","1",7,"15",50,0.840265244897959,0.48388235336639,"T","F<0","success"
"265","12","1",8,"15",50,1.45298661941452,0.85731151843847,"T","F<0","success"
"266","12","2",1,"15",50,-0.732244537082722,0.526719842520331,"T","F<0","success"
"267","12","2",2,"15",50,-0.483062876722211,0.621233718105286,"T","F<0","success"
"268","12","2",3,"15",50,-0.609708970591181,0.93044493116175,"T","F<0","success"
"269","12","2",4,"15",50,-0.762479857287439,0.790286008888204,"T","F<0","success"
"270","12","2",5,"15",50,-0.92273236936289,0.401716456145966,"T","F<0","success"
"271","12","2",6,"15",50,-0.868209458705633,0.576734443638658,"T","F<0","success"
"272","12","2",7,"15",50,-1.0130935981579,0.917337061352797,"T","F<0","success"
"273","12","2",8,"15",51,0.593704484686947,0.723541942144323,"T","F<0","success"
"274","12","2",9,"15",50,0.341008269737535,0.775490216266124,"T","F<0","success"
"275","12","2",10,"15",50,-0.113829239992683,1.00348570679192,"T","F<0","success"
"276","12","2",11,"15",50,-2.04239903212549,0.457767641031821,"T","F<0","success"
"277","12","2",12,"15",50,-1.88809483742766,0.454995789488403,"T","F<0","success"
"278","12","2",13,"15",50,-1.77009845008317,0.422749815716443,"T","F<0","success"
"279","12","2",14,"15",50,-1.14454147785308,0.634638660316357,"T","F<0","success"
"280","12","2",15,"15",50,-1.00679311481918,0.894138305607502,"T","F<0","success"
"281","13","1",1,"15",50,-1.50833673292015,0.48846413113992,"F","F<0","dead"
"282","13","1",2,"15",50,-1.73922612895464,0.390155799396765,"F","F<0","dead"
"283","13","1",3,"15",50,-1.88997689052047,0.323433149738869,"F","F<0","dead"
"284","13","1",4,"15",50,-1.81191261022147,0.293665841895883,"F","F<0","dead"
"285","13","1",5,"15",50,-1.46842019540658,0.265435584433671,"F","F<0","dead"
"286","13","1",6,"15",50,-1.83051029811336,0.22814801424526,"F","F<0","dead"
"287","13","1",7,"15",50,-1.49535825251203,0.320055364787186,"F","F<0","dead"
"288","13","1",8,"15",51,-1.05326330245019,0.309806501941427,"F","F<0","dead"
"289","13","1",9,"15",50,-0.720715754267756,0.869888411487636,"F","F<0","dead"
"290","13","1",10,"15",50,-0.930147461136769,0.429980855053939,"F","F<0","dead"
"291","13","1",11,"15",50,-0.823467466744908,0.520369562594285,"F","F<0","dead"
"292","13","1",12,"15",50,-1.92832795496249,0.331579279622949,"F","F<0","dead"
"293","13","1",13,"15",50,-0.997084684191473,0.66342843854199,"F","F<0","dead"
"294","13","2",1,"15",50,-1.26302841011115,0.418347217168624,"F","F<0","dead"
"295","13","2",2,"15",50,-1.45521133223595,0.54365808024476,"F","F<0","dead"
"296","13","2",3,"15",50,-1.17825046116388,0.418257859707541,"F","F<0","dead"
"297","13","2",4,"15",50,-1.29285838355174,0.434601890504772,"F","F<0","dead"
"298","13","2",5,"15",50,-0.958175063472028,0.258718191296676,"F","F<0","dead"
"299","13","2",6,"15",50,-0.995781892047501,0.35561838382117,"F","F<0","dead"
"300","13","2",7,"15",50,-0.890352335261635,0.279193411211602,"F","F<0","dead"
"301","13","2",8,"15",50,-1.00743916474179,0.274284213815027,"F","F<0","dead"
"302","13","2",9,"15",50,-0.836358304593213,0.162289750357896,"F","F<0","dead"
"303","13","2",10,"15",50,-0.808683638810228,0.174298612543233,"F","F<0","dead"
"304","13","2",11,"15",50,-0.861572600604484,0.164878675498242,"F","F<0","dead"
"305","13","2",12,"15",50,-0.902234422856787,0.206678006837324,"F","F<0","dead"
"306","13","2",13,"15",50,-0.807460381987511,0.22603251701788,"F","F<0","dead"
"307","13","2",14,"15",50,-0.7705377575486,0.197131446882625,"F","F<0","dead"
"308","13","2",15,"15",50,-0.886994853044642,0.181458616806668,"F","F<0","dead"
"309","14","1",1,"20",50,-1.38688600138707,0.820333523438431,"F","F<0","dead"
"310","14","1",2,"20",50,0.149090801660672,0.804367047613874,"F","F<0","dead"
"311","14","1",3,"20",50,1.46085027112574,0.598293261308241,"F","F<0","dead"
"312","14","1",4,"20",50,1.26098468571415,0.908635800683658,"F","F<0","dead"
"313","14","1",5,"20",50,0.600467609705762,1.05285666410868,"F","F<0","dead"
"314","14","1",6,"20",50,-0.896351834037495,0.779128098730014,"F","F<0","dead"
"315","14","1",7,"20",50,-1.40548805968451,0.744109285483796,"F","F<0","dead"
"316","14","1",8,"20",50,-0.513129229902803,1.03956429517494,"F","F<0","dead"
"317","14","1",9,"20",50,-1.51177392964995,0.739691410422053,"F","F<0","dead"
"318","14","1",10,"20",50,-0.862367531430248,0.999300543092868,"F","F<0","dead"
"319","14","1",11,"20",50,-2.14056042613422,0.492520260662151,"F","F<0","dead"
"320","14","1",12,"20",50,-1.52753124698159,0.491732026145239,"F","F<0","dead"
"321","14","1",13,"20",50,-1.72188352590854,0.598874426804345,"F","F<0","dead"
"322","14","2",1,"20",50,-2.56087681072328,0.27155641957275,"F","F<0","dead"
"323","14","2",2,"20",50,-2.63174475863205,0.331839682433467,"F","F<0","dead"
"324","14","2",3,"20",50,-2.52622490656331,0.34192562065642,"F","F<0","dead"
"325","14","2",4,"20",50,-3.13133513073664,0.562595724346562,"F","F<0","dead"
"326","14","2",5,"20",50,-2.68102662164331,0.504479836508578,"F","F<0","dead"
"327","14","2",6,"20",50,-3.02361936593953,0.629204667957011,"F","F<0","dead"
"328","14","2",7,"20",50,-3.43233538223014,0.489656856488901,"F","F<0","dead"
"329","14","2",8,"20",50,-3.3562316961834,0.408204327684873,"F","F<0","dead"
"330","14","2",9,"20",50,-2.97923965302157,0.323869232723394,"F","F<0","dead"
